"filename", "language", "TypeScript", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/.env", "Properties", 0, -19, 0, 0, -1, -20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/app.module.js", "JavaScript", 0, 0, 10, 0, 0, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-detail.entity.d.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-detail.entity.js", "JavaScript", 0, 0, 36, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-space.entity.d.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-space.entity.js", "JavaScript", 0, 0, 36, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar.entity.d.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar.entity.js", "JavaScript", 0, 0, 32, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/tools/calendar/calendar.entity.d.ts", "TypeScript", 12, 0, 0, 0, 1, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/tools/calendar/calendar.entity.js", "JavaScript", 0, 0, 56, 1, 0, 57
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.d.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.js", "JavaScript", 0, 0, 12, 0, 0, 12
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.module.js", "JavaScript", 0, 0, 19, 1, 0, 20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.service.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.service.js", "JavaScript", 0, 0, 16, 1, 0, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.controller.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.controller.js", "JavaScript", 0, 0, 122, 1, 0, 123
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.dto.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.dto.js", "JavaScript", 0, 0, 99, 1, 0, 100
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.service.js", "JavaScript", 0, 0, 94, 1, 0, 95
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.controller.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.controller.js", "JavaScript", 0, 0, 133, 1, 0, 134
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.dto.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.dto.js", "JavaScript", 0, 0, 100, 1, 0, 101
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.service.d.ts", "TypeScript", 19, 0, 0, 0, 1, 20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.service.js", "JavaScript", 0, 0, 106, 1, 0, 107
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.controller.d.ts", "TypeScript", 14, 0, 0, 0, 1, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.controller.js", "JavaScript", 0, 0, 112, 1, 0, 113
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.dto.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.dto.js", "JavaScript", 0, 0, 92, 1, 0, 93
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.service.js", "JavaScript", 0, 0, 94, 1, 0, 95
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.controller.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.controller.js", "JavaScript", 0, 0, 48, 0, 0, 48
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.service.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.service.js", "JavaScript", 0, 0, 22, 0, 0, 22
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.controller.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.controller.js", "JavaScript", 0, 0, 131, 1, 0, 132
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.dto.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.dto.js", "JavaScript", 0, 0, 92, 1, 0, 93
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.service.d.ts", "TypeScript", 19, 0, 0, 0, 1, 20
